,S No,data_extrcn_date,data_extrcn_epoch,state,RTO,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
0,1,2023-02-02,1675327078.0,Andaman & Nicobar Island(7),Port Blair DTO - AN1( 15-AUG-2020 ),JITENDRA NEW EV-TECH PVT. LTD,0,0,0,0,0,0,0,0,0,0,1,0,1
1,2,2023-02-02,1675327078.0,Andaman & Nicobar Island(7),Port Blair DTO - AN1( 15-AUG-2020 ),PUR ENERGY PVT LTD,0,0,0,0,0,0,0,0,0,0,5,10,15
